Losing Team,Full Time Home Goals,Half  Time Home Goals,Home Shots,Home Shots on Target,Home Hit Woodwork,Home Corners,Home Fouls Committed,Home Offsides,Home Yellow Cards,Home Red Cards
Man City,0,0,8,4,1,6,12,6,2,0
West Ham,2,0,12,5,0,7,14,3,2,0
Everton,0,0,12,6,0,4,20,1,3,0
Bradford,0,0,3,2,0,1,8,0,1,0
Arsenal,0,0,14,7,0,9,21,3,1,1
Ipswich,1,1,15,5,1,4,13,3,0,0
Newcastle,0,0,9,6,0,1,13,9,1,0
Liverpool,0,0,7,4,0,11,20,4,4,2
Chelsea,0,0,14,6,0,4,16,6,1,0
Charlton,0,0,8,4,0,5,15,4,1,1
Sunderland,2,0,9,4,0,3,14,4,3,0
Derby,2,1,10,5,0,6,11,3,3,0
Charlton,3,2,7,4,0,3,15,2,1,0
Sunderland,0,0,9,3,0,6,12,10,1,0
Tottenham,0,0,10,2,1,2,10,4,0,0
Bradford,0,0,6,4,1,1,10,9,1,0
Everton,2,2,11,6,0,5,10,7,2,0
Ipswich,1,0,7,3,0,2,13,0,1,0
Aston Villa,1,0,9,4,0,7,7,3,2,0
Southampton,0,0,9,5,0,6,9,1,0,0
Man City,2,0,9,7,0,4,17,5,4,0
Sunderland,0,0,5,1,0,4,14,6,3,0
West Ham,0,0,11,5,0,3,13,7,2,0
Coventry,1,0,6,2,1,4,13,0,2,0
Bradford,0,0,8,4,0,6,12,10,2,0
Tottenham,0,0,10,5,1,5,10,2,0,0
Newcastle,0,0,10,7,0,8,14,4,0,0
Derby,1,0,10,5,0,5,28,5,3,0
Derby,1,0,11,6,1,6,1,3,1,0
Tottenham,3,1,10,5,0,4,20,1,2,0
Man United,0,0,13,4,0,11,17,1,3,0
Liverpool,0,0,10,2,0,1,14,2,1,0
Aston Villa,0,0,8,3,0,4,20,3,4,1
Tottenham,1,0,4,5,1,5,16,6,4,0
Charlton,1,0,10,8,0,5,9,1,1,0
Bradford,0,0,10,2,0,6,16,8,2,0
Chelsea,0,0,11,2,0,0,18,1,1,1
Middlesbrough,0,0,8,6,0,6,19,2,2,0
Coventry,1,0,3,3,0,0,8,5,1,1
Leicester,0,0,8,3,0,9,10,3,2,0
Leeds,0,0,5,0,0,4,18,9,2,0
Derby,1,1,8,7,0,4,16,6,2,0
Man City,0,0,6,2,0,4,13,4,3,1
Charlton,1,0,7,4,0,6,11,4,2,0
Tottenham,0,0,6,3,0,3,14,2,3,0
Middlesbrough,1,0,7,3,0,1,17,4,2,0
Derby,1,1,7,2,0,3,18,1,3,0
Southampton,0,0,12,5,0,7,9,5,0,0
Coventry,0,0,10,4,0,3,10,12,2,0
Newcastle,0,0,12,5,1,8,10,3,2,0
Everton,1,1,9,7,0,6,10,5,1,1
Bradford,0,0,12,8,0,6,20,1,1,1
Liverpool,3,2,14,8,0,7,18,4,4,0
Ipswich,1,1,8,5,0,4,7,5,0,0
Chelsea,2,0,9,4,1,7,11,2,2,0
Sunderland,1,0,12,3,0,7,9,4,0,0
Tottenham,0,0,3,2,0,1,13,3,3,0
Charlton,0,0,7,4,0,3,12,4,2,0
Middlesbrough,1,1,5,1,0,0,10,5,0,0
Man City,1,1,10,5,0,5,7,6,1,0
Coventry,1,0,10,5,0,1,12,1,0,0
Chelsea,0,0,13,3,1,5,22,1,3,0
Bradford,0,0,7,4,0,4,18,3,1,0
Arsenal,0,0,4,2,1,5,12,4,1,0
Aston Villa,0,0,9,3,0,3,10,2,0,0
Liverpool,1,1,9,4,0,5,13,3,2,0
Chelsea,1,1,10,6,1,4,18,1,3,1
Leicester,0,0,11,5,1,8,15,4,3,1
Arsenal,0,0,9,3,1,4,22,3,7,0
Liverpool,1,0,13,9,1,11,15,10,2,0
Southampton,0,0,7,5,1,8,15,6,2,0
Coventry,1,0,13,7,0,8,12,7,2,0
Leeds,1,0,12,4,1,6,7,2,2,1
Charlton,0,0,7,2,0,5,9,2,1,0
Tottenham,0,0,5,3,0,5,8,5,1,0
Middlesbrough,0,0,5,3,0,5,19,3,4,1
Man City,1,0,11,5,0,10,12,3,0,0
Everton,0,0,7,2,0,4,23,3,3,0
Newcastle,0,0,3,1,0,2,11,3,3,0
Derby,1,0,5,3,0,6,14,0,0,0
Everton,0,0,14,4,0,13,12,3,1,0
Leeds,0,0,13,5,0,10,15,0,4,0
Middlesbrough,0,0,8,5,0,3,21,2,3,0
Leicester,0,0,6,1,0,10,15,3,1,0
Coventry,0,0,14,5,0,5,10,4,3,0
Southampton,1,1,13,4,1,1,12,1,2,0
Sunderland,0,0,17,6,1,5,20,3,4,0
Charlton,1,1,12,8,0,5,16,2,2,0
Chelsea,0,0,9,3,0,5,16,2,2,0
Bradford,1,0,7,3,0,3,17,7,2,0
Everton,0,0,10,4,1,6,21,4,4,0
Bradford,0,0,7,1,0,4,12,7,1,0
Newcastle,0,0,8,4,0,3,16,5,2,0
West Ham,1,1,11,4,0,5,5,2,0,0
Arsenal,0,0,12,6,0,3,14,1,0,0
Ipswich,0,0,5,3,0,3,8,4,1,0
Man City,0,0,9,3,1,6,18,11,2,0
Leicester,1,0,2,2,0,0,11,2,0,0
Liverpool,0,0,11,5,0,6,9,3,2,0
Leeds,1,1,8,5,1,2,17,4,2,0
Charlton,0,0,12,8,0,8,11,1,0,0
Tottenham,0,0,7,2,0,4,13,4,3,0
Tottenham,0,0,6,3,0,5,17,5,0,0
Derby,0,0,9,5,0,6,10,3,2,0
Arsenal,0,0,10,5,0,12,12,2,1,0
Aston Villa,0,0,7,3,0,5,19,1,1,0
Everton,0,0,9,6,1,11,18,1,3,0
Southampton,1,1,7,3,0,2,5,0,1,0
West Ham,1,0,9,5,0,2,13,5,2,0
Ipswich,1,1,9,3,0,3,10,4,5,0
Newcastle,2,1,9,4,0,6,10,1,2,2
Derby,0,0,6,3,0,5,14,4,4,0
Coventry,1,0,12,5,0,7,9,11,3,0
Leicester,0,0,6,3,0,1,10,4,1,0
Ipswich,1,1,5,2,0,1,12,3,0,1
Aston Villa,0,0,5,3,0,3,19,7,2,0
Bradford,0,0,6,2,0,3,14,1,2,0
Derby,1,1,6,3,0,3,14,4,1,0
Newcastle,1,1,4,2,0,2,19,4,3,0
Coventry,0,0,3,1,0,2,19,1,5,0
Leicester,0,0,6,3,0,3,12,1,3,0
Sunderland,0,0,17,5,1,4,18,1,3,0
Chelsea,1,0,8,4,0,7,13,1,1,0
West Ham,0,0,8,3,0,3,6,0,1,1
Everton,0,0,5,1,0,5,11,4,2,0
Ipswich,0,0,5,3,0,3,15,3,1,0
Leicester,1,0,9,2,0,2,7,2,2,0
Bradford,0,0,4,1,0,0,16,4,1,0
Newcastle,0,0,5,3,0,11,12,2,1,0
Aston Villa,0,0,19,7,1,9,10,2,1,0
Everton,0,0,8,2,0,2,14,5,2,1
Sunderland,0,0,9,3,0,5,16,1,4,1
Arsenal,1,1,6,2,0,3,6,8,0,0
West Ham,0,0,4,2,0,6,12,6,3,0
Tottenham,1,0,13,7,0,7,12,1,3,0
Liverpool,0,0,8,3,0,7,7,1,1,0
Bradford,1,1,7,5,0,2,14,5,4,0
Ipswich,1,1,8,3,0,2,11,1,1,0
Leicester,0,0,5,2,0,2,13,5,1,0
Everton,0,0,5,1,0,6,18,0,1,0
Coventry,0,0,11,5,0,8,10,3,1,0
Tottenham,0,0,4,3,0,2,6,4,1,0
Middlesbrough,1,0,7,3,0,3,10,4,1,0
Derby,0,0,14,8,0,4,16,4,1,0
Man United,0,0,9,3,0,4,8,2,1,0
Leicester,0,0,5,1,0,2,9,2,2,0
Leicester,1,1,6,2,0,3,12,0,2,0
Southampton,0,0,6,2,0,1,11,1,0,0
Man City,1,1,13,5,0,8,18,1,3,1
Charlton,1,0,3,2,1,4,9,5,1,0
Bradford,1,1,10,5,1,7,9,4,1,0
Charlton,0,0,3,8,0,7,21,5,3,0
Everton,1,1,5,3,0,3,14,3,3,0
Southampton,0,0,9,5,1,6,19,6,3,0
Newcastle,0,0,6,2,0,3,13,2,1,1
Coventry,2,2,9,4,0,2,18,5,4,0
Derby,1,0,6,3,0,5,18,1,2,0
Sunderland,0,0,6,3,0,3,21,9,0,0
Leicester,0,0,7,4,0,6,16,2,0,0
West Ham,1,0,13,6,0,5,9,5,0,0
Everton,1,1,4,2,0,0,13,2,2,1
Derby,0,0,12,3,0,8,13,5,2,1
Coventry,0,0,6,2,0,3,23,4,4,0
Tottenham,1,1,7,5,0,4,13,0,1,0
Bradford,1,1,7,4,0,2,15,2,2,0
Chelsea,0,0,7,5,1,2,17,0,5,0
West Ham,0,0,12,7,1,10,12,7,5,0
Leicester,0,0,4,3,0,0,14,7,1,0
Ipswich,1,1,17,6,2,13,11,0,1,0
Leeds,1,0,4,3,1,2,18,2,3,0
Coventry,2,2,6,3,0,2,23,2,5,0
Everton,1,1,9,3,0,6,22,4,1,0
Tottenham,2,0,9,4,0,2,14,3,2,0
Newcastle,0,0,6,3,0,3,10,1,2,0
Charlton,2,1,17,7,1,5,7,7,0,0
Southampton,0,0,12,3,1,1,18,2,2,0
Man City,1,0,11,7,1,2,19,5,0,0
Bradford,1,1,13,7,0,7,13,0,0,0
Man United,1,0,9,6,0,4,18,4,1,0
Leicester,1,1,8,5,0,5,17,2,4,0
West Ham,1,1,11,5,0,6,15,2,0,0
Aston Villa,0,0,5,1,0,1,14,4,5,1
Arsenal,2,1,8,5,1,5,10,2,2,0
Man United,1,1,15,6,0,6,15,2,2,0
Blackburn,1,0,14,4,0,10,15,1,0,0
Southampton,0,0,11,6,0,3,24,2,2,1
West Ham,1,1,3,3,0,3,12,6,5,0
Ipswich,0,0,10,4,0,1,20,5,1,0
Fulham,2,1,8,5,0,4,19,3,1,0
Middlesbrough,0,0,11,4,0,2,16,6,1,0
Derby,1,0,2,2,0,2,14,5,3,1
Sunderland,0,0,8,3,0,9,20,4,2,0
Leicester,0,0,2,0,0,0,20,1,4,1
Tottenham,1,0,12,5,0,6,11,6,1,0
Middlesbrough,0,0,5,1,0,6,23,3,1,0
Liverpool,1,0,18,7,0,6,11,4,2,0
Everton,1,0,5,1,2,2,11,3,1,0
Blackburn,0,0,10,4,0,10,14,1,3,0
Southampton,0,0,15,6,0,3,16,4,0,0
West Ham,0,0,5,1,0,1,23,3,3,1
Man United,3,1,10,7,0,5,16,4,1,1
Everton,0,0,14,7,1,4,17,4,2,0
Tottenham,0,0,11,5,0,5,9,1,1,0
Ipswich,0,0,8,1,0,4,17,4,1,0
Derby,0,0,9,2,0,3,17,4,2,0
Newcastle,0,0,8,5,0,7,17,5,0,0
Leicester,0,0,2,2,0,1,27,5,3,0
Leicester,0,0,9,6,0,4,11,2,2,1
West Ham,0,0,15,5,1,4,8,4,0,0
Blackburn,0,0,4,1,1,8,15,4,2,0
Leicester,0,0,8,2,0,3,13,5,0,0
Fulham,0,0,11,3,0,2,8,0,1,0
West Ham,1,1,12,5,0,7,6,0,3,1
Derby,1,1,8,6,0,2,6,2,2,0
Aston Villa,2,0,11,3,0,4,14,5,1,0
Southampton,0,0,10,3,0,7,16,1,1,1
Sunderland,0,0,15,5,0,5,16,3,2,0
Charlton,0,0,4,0,0,4,8,5,0,0
