Winning Team,Full Time Home Goals,Half  Time Home Goals,Home Shots,Home Shots on Target,Home Hit Woodwork,Home Corners,Home Fouls Committed,Home Offsides,Home Yellow Cards,Home Red Cards
Charlton,4,2,17,14,2,6,13,8,1,0
Chelsea,4,1,17,10,1,7,19,2,1,0
Leeds,2,2,17,8,0,6,21,6,1,0
Liverpool,1,0,16,10,0,6,8,5,1,0
Sunderland,1,0,8,2,0,2,10,2,3,0
Tottenham,3,2,20,6,2,3,14,2,0,0
Man United,2,1,19,9,2,7,7,5,0,0
Arsenal,2,1,17,12,0,10,25,5,2,1
Bradford,2,1,12,3,0,6,14,5,0,0
Everton,3,0,13,8,0,3,17,1,2,0
Man City,4,2,15,10,0,7,24,5,3,0
Newcastle,3,1,9,4,0,9,23,2,0,1
Arsenal,5,1,18,9,0,8,12,3,0,0
Ipswich,1,0,14,5,1,7,10,3,1,0
Newcastle,2,1,15,6,1,4,13,6,0,0
Man United,6,2,21,12,1,5,12,4,0,0
Tottenham,3,1,11,7,1,7,11,11,1,0
Leicester,2,0,12,6,0,6,12,3,1,0
Liverpool,3,3,11,7,0,8,13,4,0,0
Leicester,1,0,17,6,0,10,6,2,0,0
Liverpool,3,1,14,8,0,9,17,3,3,0
Man United,3,1,15,7,1,4,18,3,1,0
Tottenham,1,0,15,7,1,11,14,2,1,0
Arsenal,2,1,18,13,0,8,5,3,1,0
Aston Villa,2,1,12,7,0,5,8,10,0,0
Charlton,1,1,9,5,1,7,8,3,0,0
Southampton,2,0,13,9,0,4,14,4,0,0
Sunderland,2,1,15,8,2,4,16,0,2,0
Aston Villa,4,2,12,7,0,6,0,4,1,0
Leeds,4,0,14,7,1,6,11,4,0,0
Arsenal,1,1,7,5,0,3,18,8,2,0
Chelsea,3,2,11,5,0,3,14,4,1,0
Arsenal,1,0,16,10,0,7,12,3,1,0
Coventry,2,2,0,5,0,3,12,3,0,1
Leeds,3,1,22,10,0,8,7,2,0,0
Man City,2,2,13,10,1,5,10,7,0,0
Sunderland,1,0,16,11,1,5,12,3,0,1
Charlton,1,0,5,2,0,5,11,4,2,0
Chelsea,6,2,33,19,1,10,6,3,0,0
Liverpool,1,0,24,11,0,10,8,1,1,0
Man United,3,1,26,14,0,12,9,1,0,0
