miRNA_ID	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-A7-A0D9-11A-53R-A090-13	TCGA-A7-A0D9-11A-53R-A090-13	TCGA-A7-A0DB-11A-33R-A090-13	TCGA-A7-A0DB-11A-33R-A090-13	TCGA-A7-A0DC-11A-41R-A090-13	TCGA-A7-A0DC-11A-41R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped
hsa-let-7a-1	30670	7163.211688	10913	5079.352963	13074	6338.358998	10494	6181.617258	17764	6883.459741	13292	6597.852174	21366	11492.194118	16158	6347.098868	18040	7648.459179	24700	8312.356132	13131	6498.246399	21535	7424.653643	25476	8232.614999	21720	7842.972992	32966	9241.709416	26511	8399.543381	15245	6568.784807
hsa-let-7a-2	61078	14265.231284	21675	10088.4244	25921	12566.666941	20846	12279.587704	35668	13821.16877	26712	13259.240691	42393	22802.049296	32444	12744.478008	35904	15222.299244	49902	16793.651648	26391	13060.332093	42875	14782.076848	51011	16484.295954	43677	15771.525386	65089	18247.091676	53806	17047.483353	30874	13303.028018
hsa-let-7a-3	30764	7185.166103	11163	5195.713106	13194	6396.535767	10682	6292.360925	18133	7026.445366	13470	6686.207401	21193	11399.142093	16280	6395.022253	17889	7584.439371	24907	8382.018388	13179	6522.000555	21723	7489.470679	25670	8295.306446	21838	7885.582146	32807	9197.135255	26788	8487.305952	15511	6683.399222
hsa-let-7b	162138	37868.562656	90618	42177.293761	72247	35025.808669	83053	48923.371273	127436	49380.802494	86389	42881.57173	127506	68582.032353	122664	48184.214351	125666	53278.895298	179618	60447.319181	87163	43135.073556	180049	62075.758704	190667	61614.382323	166410	60089.73921	249027	69812.387636	210767	66777.811468	153775	66258.765741
hsa-let-7c	40961	9566.752982	12966	6034.902458	12448	6034.870186	10967	6460.243613	26918	10430.588229	17890	8880.196764	28576	15370.258313	23302	9153.366618	21186	8982.275841	33832	11385.572173	13854	6856.043379	14619	5040.214144	35569	11494.186015	37129	13407.078464	40793	11435.935577	39618	12552.265462	19762	8515.075458
hsa-let-7d	1064	248.50529	1573	732.13802	1981	960.401497	875	515.429303	1060	410.744614	745	369.801374	539	289.913537	1103	433.274542	1319	559.219382	1210	407.204491	725	358.786737	1621	558.874556	931	300.854316	1194	431.146858	1696	475.457719	1258	398.575141	634	273.178719
hsa-let-7e	3664	855.755058	1852	861.995939	2621	1270.677599	1876	1105.080425	2343	907.900595	1267	628.910525	2207	1187.08567	2034	798.984967	2430	1030.252539	2246	755.852303	1727	854.654751	2311	796.766871	2508	810.464689	2263	817.156901	2738	767.572662	2941	931.804047	1746	752.31868
hsa-let-7f-1	167	39.00412	64	29.788197	97	47.026222	36	21.206234	89	34.487048	70	34.746438	75	40.340474	97	38.10302	83	35.189696	108	36.345525	72	35.631235	60	20.686288	125	40.393974	106	38.276019	182	51.021996	142	44.990199	68	29.299926
hsa-let-7f-2	17719	4138.40717	4833	2249.474285	6786	3289.896295	3334	1963.932908	7092	2748.113965	5134	2548.403029	16106	8662.982237	7832	3076.524219	7431	3150.537703	10447	3515.756458	6968	3448.311698	6182	2131.377238	9545	3084.483834	10270	3708.440729	13832	3877.671681	10846	3436.364057	6377	2747.729794
hsa-let-7g	1317	307.595363	690	321.153995	1431	693.757972	419	246.817003	740	286.74624	680	337.536825	897	482.472064	791	310.716376	818	346.809291	1548	520.952522	545	269.70865	610	210.310598	1049	338.986228	958	345.928551	1805	506.014849	1137	360.238423	606	261.114043
hsa-let-7i	1787	417.367437	1224	569.69926	1302	631.217945	676	398.205953	1298	502.968405	976	484.464619	1143	614.788818	1181	463.914084	837	354.864763	1645	553.596188	804	397.882119	1338	461.304229	1711	552.912713	1628	587.86188	1971	552.551394	1660	525.941761	1114	480.001724
hsa-mir-1-1	1	0.233558	0	0	0	0	1	0.589062	0	0	0	0	0	0	1	0.392815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1-2	131	30.596046	33	15.359539	31	15.028999	59	34.754662	82	31.774583	119	59.068944	83	44.643457	47	18.462288	26	11.023278	36	12.115175	34	16.825861	9	3.102943	67	21.65117	11	3.97204	58	16.259757	25	7.92081	35	15.080844
hsa-mir-100	40296	9411.437176	12768	5942.745224	13247	6422.230507	14406	8486.028037	33713	13063.616203	27614	13706.973362	10819	5819.247785	27080	10637.420308	18914	8019.010915	35904	12082.867797	15753	7795.81719	36466	12572.436486	36529	11804.411733	24724	8927.700933	32426	9090.325473	38608	12232.264753	32223	13884.286838
hsa-mir-101-1	54221	12663.726799	13818	6431.457825	21232	10293.409687	9997	5888.853414	25831	10009.381252	29672	14728.518635	24374	13110.116046	44300	17401.688317	23109	9797.574455	68668	23109.023113	34189	16919.392745	80833	27868.91237	46189	14926.058023	40567	14648.521426	62594	17547.641789	33914	10745.053534	40912	17628.214105
hsa-mir-101-2	500	116.778802	148	68.885205	145	70.296929	81	47.714027	305	118.18595	252	125.087176	427	229.671763	229	89.954551	135	57.236252	407	136.968783	176	87.098573	358	123.428187	325	105.024332	218	78.718606	560	156.990756	381	120.713139	284	122.370278
hsa-mir-103-1	47685	11137.194305	31967	14878.738768	28690	13909.095889	24833	14628.178137	23768	9209.979234	19217	9538.889951	23556	12670.135947	25658	10078.837897	27399	11616.415357	26760	9005.613364	21030	10407.289755	30551	10533.113231	30312	9795.377055	32284	11657.57551	30011	8413.302836	52267	16559.878311	19515	8408.647787
