miRNA_ID	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13	TCGA-BH-A0HK-11A-11R-A090-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped	read_count	reads_per_million_miRNA_mapped
hsa-let-7a-1	30670	7161.686216	17764	6880.793468	13292	6596.035035	21366	11488.820097	16158	6345.707948	18040	7644.628187	24700	8309.604422	13131	6496.256403	21535	7422.353088	25476	8230.856861	21720	7840.798577	32966	9238.995027	26511	8396.175593	15245	6567.197355
hsa-let-7a-2	61078	14262.193372	35668	13815.815212	26712	13255.588914	42393	22795.354787	32444	12741.685151	35904	15214.674635	49902	16788.092303	26391	13056.332551	42875	14777.49657	51011	16480.775605	43677	15767.15283	65089	18241.73231	53806	17040.648182	30874	13299.813129
hsa-let-7a-3	30764	7183.635956	18133	7023.723708	13470	6684.365928	21193	11395.795391	16280	6393.620832	17889	7580.640445	24907	8379.243617	13179	6520.003285	21723	7487.15004	25670	8293.53492	21838	7883.395918	32807	9194.433958	26788	8483.902975	15511	6681.784072
hsa-let-7b	162138	37860.498198	127436	49361.675096	86389	42869.761556	127506	68561.897188	122664	48173.65514	125666	53252.208742	179618	60427.308792	87163	43121.864051	180049	62056.524312	190667	61601.224096	166410	60073.079708	249027	69791.882991	210767	66751.036972	153775	66242.753252
hsa-let-7c	40961	9564.715654	26918	10426.547995	17890	8877.751036	28576	15365.745722	23302	9151.360726	21186	8977.776761	33832	11381.80311	13854	6853.943813	14619	5038.652416	35569	11491.731342	37129	13403.361436	40793	11432.57672	39618	12547.232644	19762	8513.017654
hsa-let-7d	1064	248.452368	1060	410.585514	745	369.699526	539	289.82842	1103	433.179593	1319	558.939278	1210	407.06969	725	358.676863	1621	558.701386	931	300.790067	1194	431.027325	1696	475.318072	1258	398.415333	634	273.112701
hsa-let-7e	3664	855.572817	2343	907.548925	1267	628.737315	2207	1186.73715	2034	798.809875	2430	1029.736502	2246	755.602086	1727	854.393025	2311	796.51999	2508	810.291608	2263	816.930349	2738	767.347218	2941	931.430441	1746	752.13687
hsa-let-7f-1	167	38.995813	89	34.473689	70	34.736868	75	40.32863	97	38.09467	83	35.17207	108	36.333493	72	35.620323	60	20.679879	125	40.385347	106	38.265407	182	51.00701	142	44.97216	68	29.292845
hsa-let-7f-2	17719	4137.525858	7092	2747.049498	5134	2547.701164	16106	8660.438851	7832	3075.850022	7431	3148.959648	10447	3514.592607	6968	3447.255701	6182	2130.716823	9545	3083.825119	10270	3707.412587	13832	3876.532768	10846	3434.98625	6377	2747.065762
